MBTI,Level1,Level2,Level3,Value
ENFJ,feeling,feeling,feeling,285
ENFJ,feeling,emotion,emotion,119
ENFJ,feeling,emotion,anger,56
ENFJ,feeling,emotion,fear,46
ENFJ,feeling,emotion,anxiety,8
ENFJ,feeling,emotion,joy,19
ENFJ,feeling,emotion,love,194
ENFJ,feeling,emotion,hate,30
ENFJ,feeling,emotion,happiness,26
ENFJ,feeling,emotion,ecstasy,1
ENFJ,feeling,passion,pasion,19
ENFJ,feeling,passion,infatuation,4
ENFJ,feeling,sentiment,sentiment,9
ENFJ,feeling,desire,desire,22
ENFJ,feeling,desire,ambition,5
ENFJ,feeling,desire,craving,3
ENFJ,feeling,desire,wish,19
ENFJ,feeling,desire,longing,22
ENFJ,feeling,desire,sex,3
ENFJ,feeling,desire,caprice,2
ENFJ,feeling,pleasure,pleasure,8
ENFJ,feeling,pleasure,delight,1
ENFJ,feeling,pleasure,enjoyment,2
ENFJ,feeling,pleasure,comfort,3
ENFJ,feeling,pain,distress,2
ENFJ,feeling,pang,pang,3
ENFJ,feeling,liking,liking,2
ENFJ,feeling,liking,preference,23
ENFJ,feeling,liking,captivation,1
ENFJ,feeling,liking,admiration,2
ENFJ,feeling,liking,friendliness,1
ENFJ,feeling,liking,inclination,1
ENFJ,feeling,indifference,indifference,1
ENFJ,feeling,indifference,withdrawal,3
ENFJ,feeling,shame,shame,7
ENFJ,feeling,shame,embarrassment,1
ENFJ,feeling,pride,pride,13
ENFJ,feeling,pride,dignity,1
ENFJ,feeling,pride,self-esteem,3
ENFJ,feeling,pride,ego,13
ENFJ,feeling,pride,amour propre,4
ENFJ,feeling,astonishment,wonder,12
ENFJ,feeling,astonishment,surprise,11
ENFJ,feeling,astonishment,stupefaction,2
ENFJ,feeling,expectation,anticipation,25
ENFJ,feeling,gravity,earnestness,6
ENFJ,feeling,sensitivity,feelings,162
ENFJ,feeling,happiness,contentment,7
ENFJ,feeling,happiness,belonging,1
ENFJ,feeling,sadness,sadness,7
ENFJ,feeling,sadness,sorrow,20
ENFJ,feeling,affection,affection,11
ENFJ,feeling,affection,attachment,4
ENFJ,feeling,temper,temper,34
ENFJ,feeling,temper,sulk,2
ENFJ,feeling,temper,peeve,1
ENFJ,feeling,sympathy,compassion,9
ENFJ,feeling,sympathy,commiseration,6
ENFJ,feeling,sympathy,compatibility,5
ENFJ,feeling,sympathy,empathy,12
